Well name: E02
depth(m)	 transit time (micron/sec)
2146.2400	  230.997478
2146.3975	  237.448646
2146.5551	  232.473086
2146.7126	  235.400254
2146.8701	  238.728247
2147.0277	  233.983589
2147.1852	  239.667977
2147.3427	  235.423434
2147.5003	  239.732457
2147.6578	  237.855973
2147.8154	  241.802691
2147.9729	  247.921536
2148.1304	  235.871805
2148.2880	  240.300408
2148.4455	  255.460677
2148.6030	  261.870200
2148.7606	  255.023369
2148.9181	  250.574152
2149.0756	  258.454277
2149.2332	  265.851002
2149.3907	  256.763035
2149.5482	  257.060863
2149.7058	  257.883371
2149.8633	  252.856238
2150.0208	  259.772302
2150.1784	  249.222874
2150.3359	  259.588179
2150.4934	  259.936434
2150.6510	  264.128538
2150.8085	  258.012838
2150.9661	  253.733321
2151.1236	  264.099063
2151.2811	  260.623491
2151.4387	  264.433633
2151.5962	  255.748921
2151.7537	  256.902730
2151.9113	  260.151969
2152.0688	  259.791750
2152.2263	  257.429715
2152.3839	  260.116792
2152.5414	  234.541145
2152.6989	  236.329772
2152.8565	  242.886226
2153.0140	  239.588944
2153.1715	  243.266099
2153.3291	  238.671492
2153.4866	  251.423184
2153.6441	  245.474754
2153.8017	  238.794478
2153.9592	  238.906970
2154.1168	  236.437758
2154.2743	  244.222550
2154.4318	  244.104865
2154.5894	  246.927356
2154.7469	  234.901818
2154.9044	  247.666300
2155.0620	  243.947618
2155.2195	  245.440069
2155.3770	  252.975876
2155.5346	  237.331124
2155.6921	  242.611075
2155.8496	  240.055359
2156.0072	  245.896040
2156.1647	  234.757972
2156.3222	  251.693416
2156.4798	  244.677238
2156.6373	  234.661171
2156.7948	  232.498734
2156.9524	  233.422313
2157.1099	  231.832898
2157.2675	  236.632641
2157.4250	  236.574422
2157.5825	  228.291762
2157.7401	  231.538552
2157.8976	  237.617083
2158.0551	  239.900879
2158.2127	  234.109495
2158.3702	  235.771415
2158.5277	  233.156296
2158.6853	  232.214804
2158.8428	  229.169695
2159.0003	  236.411068
2159.1579	  234.051953
2159.3154	  233.458708
2159.4729	  225.326561
2159.6305	  228.384472
2159.7880	  231.684791
2159.9456	  233.703800
2160.1031	  239.911999
2160.2606	  227.155116
2160.4182	  231.081725
2160.5757	  229.508666
2160.7332	  208.879186
2160.8908	  208.057962
2161.0483	  209.869601
2161.2058	  218.496085
2161.3634	  212.772299
2161.5209	  215.932874
2161.6784	  208.243307
2161.8360	  207.606813
2161.9935	  217.263133
2162.1510	  210.108412
2162.3086	  215.207577
2162.4661	  208.014508
2162.6236	  208.355002
2162.7812	  206.785189
2162.9387	  210.506088
2163.0963	  205.526070
2163.2538	  218.032589
2163.4113	  206.586694
2163.5689	  208.478161
2163.7264	  210.565446
2163.8839	  212.349342
2164.0415	  215.144718
2164.1990	  214.778566
2164.3565	  206.086920
2164.5141	  216.586718
2164.6716	  210.146237
2164.8291	  207.992918
2164.9867	  258.286644
2165.1442	  264.827208
2165.3017	  261.908547
2165.4593	  258.467367
2165.6168	  260.584428
2165.7743	  261.327673
2165.9319	  267.800449
2166.0894	  258.424800
2166.2470	  259.715136
2166.4045	  259.671087
2166.5620	  260.302183
2166.7196	  250.841502
2166.8771	  264.447432
2167.0346	  255.652976
2167.1922	  265.508460
2167.3497	  258.464986
2167.5072	  265.112735
2167.6648	  259.804808
2167.8223	  254.824706
2167.9798	  260.617770
2168.1374	  262.402213
2168.2949	  259.811866
2168.4524	  255.448959
2168.6100	  258.489108
2168.7675	  268.609316
2168.9251	  259.459125
2169.0826	  244.535195
2169.2401	  249.532584
2169.3977	  250.704696
2169.5552	  253.036858
2169.7127	  248.041500
2169.8703	  245.359241
2170.0278	  247.711371
2170.1853	  246.090027
2170.3429	  242.510133
2170.5004	  249.614197
2170.6579	  251.265087
2170.8155	  249.227401
2170.9730	  248.675332
2171.1305	  243.812029
2171.2881	  253.045619
2171.4456	  249.862078
2171.6031	  249.005311
2171.7607	  247.227719
2171.9182	  250.050724
2172.0758	  242.555281
2172.2333	  240.738352
2172.3908	  247.028919
2172.5484	  246.557815
2172.7059	  255.420093
2172.8634	  254.084095
2173.0210	  248.239457
2173.1785	  261.879536
2173.3360	  262.758797
2173.4936	  264.129026
2173.6511	  267.106047
2173.8086	  264.780765
2173.9662	  262.683754
2174.1237	  266.695858
2174.2812	  259.737925
2174.4388	  263.646855
2174.5963	  261.943601
2174.7538	  267.099343
2174.9114	  257.284600
2175.0689	  263.782703
2175.2265	  257.823921
2175.3840	  262.975539
2175.5415	  265.315751
2175.6991	  264.400575
2175.8566	  262.280901
2176.0141	  261.205738
2176.1717	  260.822020
2176.3292	  262.246134
2176.4867	  254.375287
2176.6443	  258.201963
2176.8018	  257.892451
2176.9593	  258.673789
2177.1169	  263.926059
2177.2744	  271.745483
2177.4319	  258.913817
2177.5895	  266.539702
2177.7470	  268.269010
2177.9045	  266.632944
2178.0621	  267.732261
2178.2196	  264.059797
2178.3772	  273.623836
2178.5347	  265.618677
2178.6922	  266.383822
2178.8498	  268.082836
2179.0073	  267.591543
2179.1648	  264.192077
2179.3224	  268.055302
2179.4799	  261.308089
2179.6374	  264.276345
2179.7950	  266.173164
2179.9525	  267.039731
2180.1100	  260.637111
2180.2676	  272.369781
2180.4251	  265.358077
2180.5826	  267.618226
2180.7402	  272.166260
2180.8977	  265.168030
2181.0553	  265.752408
2181.2128	  274.810076
2181.3703	  273.097309
2181.5279	  270.178778
2181.6854	  272.688351
2181.8429	  272.659339
2182.0005	  277.437577
2182.1580	  268.777639
2182.3155	  261.937303
2182.4731	  268.578566
2182.6306	  266.414501
2182.7881	  261.223220
2182.9457	  268.598397
2183.1032	  267.896598
2183.2607	  270.618633
2183.4183	  269.233922
2183.5758	  275.381795
2183.7333	  274.738317
2183.8909	  268.894691
2184.0484	  271.962513
2184.2060	  274.452551
2184.3635	  273.554489
2184.5210	  268.754847
2184.6786	  270.179291
2184.8361	  272.116316
2184.9936	  274.396354
2185.1512	  273.970480
2185.3087	  271.742647
2185.4662	  269.254503
2185.6238	  268.052517
2185.7813	  265.812086
2185.9388	  272.767626
2186.0964	  276.474989
2186.2539	  269.184245
2186.4114	  263.483848
2186.5690	  263.061160
2186.7265	  269.057936
2186.8840	  265.907371
2187.0416	  268.347207
2187.1991	  269.870928
2187.3567	  262.238455
2187.5142	  277.099275
2187.6717	  264.214264
2187.8293	  260.352637
2187.9868	  262.724156
2188.1443	  266.756612
2188.3019	  267.139934
2188.4594	  266.716038
2188.6169	  259.635424
2188.7745	  263.020462
2188.9320	  267.825264
2189.0895	  267.598045
2189.2471	  262.564164
2189.4046	  266.896809
2189.5621	  258.793870
2189.7197	  264.622591
2189.8772	  265.090693
2190.0347	  266.071839
2190.1923	  266.843872
2190.3498	  260.553198
2190.5074	  267.505815
2190.6649	  255.124295
2190.8224	  266.689170
2190.9800	  263.302145
2191.1375	  269.750090
2191.2950	  262.987453
2191.4526	  264.796373
2191.6101	  265.287240
2191.7676	  265.951960
2191.9252	  263.664561
2192.0827	  261.930141
2192.2402	  256.381656
2192.3978	  264.497514
2192.5553	  262.293977
2192.7128	  261.192499
2192.8704	  260.693771
2193.0279	  263.290733
2193.1855	  267.880790
2193.3430	  262.005705
2193.5005	  264.032138
2193.6581	  258.798655
2193.8156	  261.092992
2193.9731	  211.694474
2194.1307	  208.489704
2194.2882	  219.588210
2194.4457	  214.412905
2194.6033	  218.097980
2194.7608	  209.351607
2194.9183	  211.755273
2195.0759	  212.545837
2195.2334	  214.623084
2195.3909	  219.190365
2195.5485	  219.580794
2195.7060	  214.755391
2195.8635	  203.065103
2196.0211	  212.792264
2196.1786	  208.588202
2196.3362	  213.386311
2196.4937	  212.082969
2196.6512	  215.668232
2196.8088	  221.172570
2196.9663	  214.151100
2197.1238	  213.580868
2197.2814	  210.861924
2197.4389	  213.453755
2197.5964	  220.383863
2197.7540	  210.890690
2197.9115	  212.298150
2198.0690	  257.011072
2198.2266	  247.809701
2198.3841	  263.057214
2198.5416	  261.159892
2198.6992	  261.918773
2198.8567	  261.136577
2199.0142	  258.853483
2199.1718	  256.629648
2199.3293	  258.804822
2199.4869	  260.982101
2199.6444	  254.388098
2199.8019	  261.961319
2199.9595	  260.443194
2200.1170	  259.512027
2200.2745	  260.105026
2200.4321	  264.039623
2200.5896	  262.683434
2200.7471	  264.656359
2200.9047	  267.111205
2201.0622	  265.572102
2201.2197	  260.560581
2201.3773	  259.431445
2201.5348	  260.534807
2201.6923	  259.557934
2201.8499	  262.738576
2202.0074	  258.137367
2202.1649	  240.668094
2202.3225	  251.984568
2202.4800	  253.074532
2202.6376	  247.970937
2202.7951	  251.192560
2202.9526	  251.578621
2203.1102	  247.435887
2203.2677	  242.284258
2203.4252	  246.493646
2203.5828	  245.994956
2203.7403	  248.393082
2203.8978	  246.434796
2204.0554	  247.265321
2204.2129	  256.436052
2204.3704	  255.366049
2204.5280	  247.352497
2204.6855	  241.214347
2204.8430	  247.179607
2205.0006	  249.389231
2205.1581	  246.518283
2205.3157	  247.977171
2205.4732	  250.386142
2205.6307	  251.709246
2205.7883	  260.039684
2205.9458	  254.133912
2206.1033	  249.781042
2206.2609	  217.192969
2206.4184	  222.043727
2206.5759	  227.208465
2206.7335	  224.868711
2206.8910	  231.532316
2207.0485	  222.142143
2207.2061	  224.264888
2207.3636	  216.543281
2207.5211	  223.737507
2207.6787	  230.715094
2207.8362	  236.214011
2207.9937	  221.171249
2208.1513	  226.276139
2208.3088	  224.790472
2208.4664	  228.071305
2208.6239	  238.725058
2208.7814	  227.706163
2208.9390	  223.989831
2209.0965	  222.884141
2209.2540	  227.685060
2209.4116	  220.089882
2209.5691	  230.047814
2209.7266	  227.315748
2209.8842	  232.124448
2210.0417	  228.797060
2210.1992	  224.283750
2210.3568	  221.805663
2210.5143	  267.718564
2210.6718	  269.690141
2210.8294	  267.076098
2210.9869	  272.335906
2211.1444	  271.274903
2211.3020	  268.583044
2211.4595	  268.670902
2211.6171	  268.078833
2211.7746	  270.884564
2211.9321	  263.915105
2212.0897	  269.799157
2212.2472	  262.359135
2212.4047	  269.017187
2212.5623	  266.916509
2212.7198	  270.514167
2212.8773	  266.238968
2213.0349	  262.999285
2213.1924	  269.468782
2213.3499	  270.543130
2213.5075	  275.077528
2213.6650	  270.088657
2213.8225	  270.361846
2213.9801	  268.920044
2214.1376	  270.024115
2214.2952	  273.700066
2214.4527	  271.753015
2214.6102	  245.195898
2214.7678	  240.016414
2214.9253	  247.063830
2215.0828	  247.542586
2215.2404	  246.413827
2215.3979	  247.057623
2215.5554	  246.778034
2215.7130	  245.955751
2215.8705	  245.428173
2216.0280	  241.578484
2216.1856	  239.644890
2216.3431	  245.929277
2216.5006	  244.765971
2216.6582	  245.267466
2216.8157	  246.751393
2216.9732	  244.402755
2217.1308	  248.353937
2217.2883	  242.323090
2217.4459	  248.493530
2217.6034	  237.863145
2217.7609	  241.668202
2217.9185	  244.218872
2218.0760	  241.240433
2218.2335	  248.832928
2218.3911	  243.610491
2218.5486	  246.694856
2218.7061	  253.653755
2218.8637	  246.290026
2219.0212	  245.597330
2219.1787	  257.432722
2219.3363	  248.456255
2219.4938	  246.516812
2219.6513	  240.510000
2219.8089	  248.970846
2219.9664	  245.901617
2220.1239	  251.385382
2220.2815	  251.515519
2220.4390	  252.542872
2220.5966	  253.306777
2220.7541	  248.686170
2220.9116	  250.724488
2221.0692	  245.402644
2221.2267	  257.105244
2221.3842	  247.767106
2221.5418	  246.998716
2221.6993	  246.785434
2221.8568	  254.513198
2222.0144	  242.821489
