Well name: E05
Perforation interval: 1842 to 1981
Fluid in place: brine
Initial pressure:      217.576
Temperature:      353.819
time(day)	 water_rate(m3/d)	 BHP(bars)
0.000002	     200.000	  217.293935
0.000004	     200.000	  217.293611
0.000006	     200.000	  217.293182
0.000009	     200.000	  217.292629
0.000013	     200.000	  217.291922
0.000018	     200.000	  217.291020
0.000024	     200.000	  217.289876
0.000032	     200.000	  217.288434
0.000043	     200.000	  217.286632
0.000056	     200.000	  217.284403
0.000074	     200.000	  217.281678
0.000098	     200.000	  217.278402
0.000128	     200.000	  217.274509
0.000167	     200.000	  217.269975
0.000218	     200.000	  217.264788
0.000285	     200.000	  217.258960
0.000372	     200.000	  217.252515
0.000484	     200.000	  217.245483
0.000630	     200.000	  217.237895
0.000820	     200.000	  217.229775
0.001067	     200.000	  217.221149
0.001388	     200.000	  217.212051
0.001806	     200.000	  217.202523
0.002349	     200.000	  217.192623
0.003054	     200.000	  217.182413
0.003972	     200.000	  217.171955
0.005164	     200.000	  217.161309
0.006715	     200.000	  217.150541
0.008730	     200.000	  217.139732
0.011350	     200.000	  217.128993
0.014756	     200.000	  217.118471
0.019184	     200.000	  217.108272
0.024940	     200.000	  217.098464
0.032423	     200.000	  217.089115
0.042151	     200.000	  217.080233
0.054797	     200.000	  217.071712
0.071237	     200.000	  217.063451
0.092609	     200.000	  217.055358
0.120393	     200.000	  217.047627
0.156512	     200.000	  217.039928
0.203466	     200.000	  217.032328
0.264507	     200.000	  217.024788
0.343860	     200.000	  217.017267
0.447019	     200.000	  217.009763
0.581126	     200.000	  217.002398
0.755465	     200.000	  216.995097
0.982106	     200.000	  216.987918
1.276738	     200.000	  216.980919
1.659761	     200.000	  216.974144
2.157690	     200.000	  216.967605
2.804998	     200.000	  216.961282
3.646498	     200.000	  216.955135
4.740449	     200.000	  216.948902
6.162584	     200.000	  216.942882
8.011361	     200.000	  216.936724
10.000000	     200.000	  216.931634
10.000001	       0.001	  217.153714
10.000002	      -0.000	  217.155361
10.000004	      -0.000	  217.155701
10.000006	      -0.000	  217.156130
10.000009	      -0.000	  217.156683
10.000013	      -0.000	  217.157390
10.000018	      -0.000	  217.158292
10.000024	      -0.000	  217.159436
10.000032	      -0.000	  217.160878
10.000043	      -0.000	  217.162681
10.000056	      -0.000	  217.164910
10.000074	      -0.000	  217.167636
10.000098	      -0.000	  217.170920
10.000128	      -0.000	  217.174813
10.000167	      -0.000	  217.179349
10.000218	      -0.000	  217.184538
10.000285	      -0.000	  217.190368
10.000372	      -0.000	  217.196816
10.000484	      -0.000	  217.203850
10.000630	      -0.000	  217.211441
10.000820	      -0.000	  217.219564
10.001067	      -0.000	  217.228198
10.001388	      -0.000	  217.237294
10.001806	      -0.000	  217.246806
10.002349	      -0.000	  217.256711
10.003054	      -0.000	  217.266953
10.003972	      -0.000	  217.277415
10.005164	      -0.000	  217.288066
10.006715	      -0.000	  217.298836
10.008730	      -0.000	  217.309652
10.011350	      -0.000	  217.320380
10.014756	      -0.000	  217.330904
10.019184	      -0.000	  217.341112
10.024940	      -0.000	  217.350890
10.032423	      -0.000	  217.360215
10.042151	      -0.000	  217.369110
10.054797	      -0.000	  217.377610
10.071237	      -0.000	  217.385813
10.092609	      -0.000	  217.393785
10.120393	      -0.000	  217.401566
10.156512	      -0.000	  217.409221
10.203466	      -0.000	  217.416755
10.264507	      -0.000	  217.424222
10.343860	      -0.000	  217.431649
10.447019	      -0.000	  217.439009
10.581126	      -0.000	  217.446179
10.755465	      -0.000	  217.453247
10.982106	      -0.000	  217.460145
11.276738	      -0.000	  217.466799
11.659761	      -0.000	  217.473162
12.157690	      -0.000	  217.479232
12.804998	      -0.000	  217.485039
13.646498	      -0.000	  217.490609
14.740449	      -0.000	  217.496219
16.162584	      -0.000	  217.501802
18.011361	      -0.000	  217.507375
