Well name: I01
depth(m)	 transit time (micron/sec)
2208.7300	  222.015338
2208.9284	  228.961586
2209.1269	  234.155811
2209.3253	  235.357099
2209.5237	  240.325591
2209.7222	  231.816028
2209.9206	  242.886365
2210.1191	  233.280689
2210.3175	  233.769048
2210.5159	  227.490157
2210.7144	  235.262008
2210.9128	  238.340264
2211.1112	  236.906103
2211.3097	  232.456854
2211.5081	  242.797184
2211.7066	  237.892642
2211.9050	  248.892542
2212.1034	  243.982782
2212.3019	  245.861338
2212.5003	  238.051636
2212.6987	  240.667561
2212.8972	  241.939553
2213.0956	  242.177257
2213.2940	  249.913489
2213.4925	  248.329641
2213.6909	  245.665855
2213.8894	  243.667010
2214.0878	  237.927886
2214.2862	  244.660606
2214.4847	  257.127442
2214.6831	  245.110388
2214.8815	  246.417252
2215.0800	  261.405516
2215.2784	  248.833826
2215.4769	  241.547891
2215.6753	  248.512641
2215.8737	  248.332977
2216.0722	  249.073211
2216.2706	  246.258421
2216.4690	  246.475497
2216.6675	  241.637467
2216.8659	  238.803945
2217.0643	  244.695797
2217.2628	  247.664104
2217.4612	  245.934837
2217.6597	  248.816607
2217.8581	  247.358282
2218.0565	  247.791502
2218.2550	  242.125123
2218.4534	  236.507492
2218.6518	  241.235226
2218.8503	  243.462810
2219.0487	  241.167759
2219.2472	  243.611275
2219.4456	  244.609730
2219.6440	  243.561428
2219.8425	  242.675477
2220.0409	  242.618776
2220.2393	  238.099258
2220.4378	  243.593447
2220.6362	  237.319643
2220.8346	  237.460774
2221.0331	  247.613420
2221.2315	  244.297345
2221.4300	  244.087039
2221.6284	  245.785877
2221.8268	  247.272784
2222.0253	  250.273526
2222.2237	  243.908502
2222.4221	  250.670091
2222.6206	  246.329859
2222.8190	  243.159615
2223.0175	  248.780309
2223.2159	  247.424181
2223.4143	  246.090695
2223.6128	  250.566619
2223.8112	  256.645728
2224.0096	  253.002295
2224.2081	  245.992227
2224.4065	  248.151608
2224.6049	  255.628934
2224.8034	  249.677575
2225.0018	  241.888246
2225.2003	  245.287977
2225.3987	  245.771994
2225.5971	  250.386883
2225.7956	  243.084830
2225.9940	  239.349293
2226.1924	  244.169774
2226.3909	  251.508664
2226.5893	  242.726543
2226.7878	  246.217385
2226.9862	  232.432134
2227.1846	  233.319611
2227.3831	  238.678316
2227.5815	  241.852454
2227.7799	  239.021571
2227.9784	  238.669207
2228.1768	  234.127778
2228.3753	  241.399036
2228.5737	  243.175026
2228.7721	  239.344327
2228.9706	  241.912980
2229.1690	  230.490020
2229.3674	  231.640990
2229.5659	  240.212017
2229.7643	  226.247550
2229.9627	  245.070790
2230.1612	  235.962666
2230.3596	  240.998145
2230.5581	  236.207820
2230.7565	  239.451670
2230.9549	  232.906173
2231.1534	  240.918045
2231.3518	  239.410500
2231.5502	  232.970985
2231.7487	  234.982601
2231.9471	  232.209545
2232.1456	  234.862571
2232.3440	  239.026792
2232.5424	  236.216620
2232.7409	  233.139189
2232.9393	  230.753088
2233.1377	  234.664331
2233.3362	  239.159697
2233.5346	  240.553275
2233.7330	  239.288240
2233.9315	  236.500127
2234.1299	  235.179954
2234.3284	  235.586652
2234.5268	  233.732732
2234.7252	  235.774042
2234.9237	  235.469831
2235.1221	  235.949404
2235.3205	  229.814827
2235.5190	  237.733277
2235.7174	  248.931202
2235.9159	  237.715282
2236.1143	  234.548315
2236.3127	  240.165980
2236.5112	  241.630982
2236.7096	  237.372436
2236.9080	  236.296149
2237.1065	  232.362398
2237.3049	  248.093609
2237.5033	  254.467975
2237.7018	  256.497263
2237.9002	  252.838922
2238.0987	  253.400543
2238.2971	  256.949994
2238.4955	  257.773782
2238.6940	  252.044838
2238.8924	  256.659026
2239.0908	  259.904160
2239.2893	  249.000783
2239.4877	  254.011024
2239.6862	  255.689816
2239.8846	  245.677000
2240.0830	  255.523590
2240.2815	  250.885976
2240.4799	  244.684612
2240.6783	  253.494477
2240.8768	  249.123176
2241.0752	  254.314408
2241.2736	  253.399146
2241.4721	  252.607430
2241.6705	  255.510842
2241.8690	  251.619548
2242.0674	  253.034426
2242.2658	  245.852316
2242.4643	  254.311077
2242.6627	  254.342716
2242.8611	  261.325825
2243.0596	  248.393841
2243.2580	  246.978824
2243.4565	  257.512142
2243.6549	  255.547725
2243.8533	  246.922625
2244.0518	  254.083074
2244.2502	  254.271084
2244.4486	  250.353323
2244.6471	  253.091269
2244.8455	  251.218271
2245.0439	  248.589241
2245.2424	  244.807809
2245.4408	  251.486768
2245.6393	  250.654897
2245.8377	  251.392160
2246.0361	  250.313906
2246.2346	  245.899437
2246.4330	  251.457005
2246.6314	  249.341498
2246.8299	  250.677457
2247.0283	  254.445706
2247.2268	  250.901838
2247.4252	  261.378439
2247.6236	  246.524934
2247.8221	  245.329461
2248.0205	  251.189709
2248.2189	  251.269437
2248.4174	  249.623800
2248.6158	  242.083073
2248.8142	  242.045167
2249.0127	  254.850796
2249.2111	  248.712629
2249.4096	  250.405842
2249.6080	  259.394558
2249.8064	  251.773000
2250.0049	  252.466465
2250.2033	  248.867785
2250.4017	  252.155647
2250.6002	  252.540189
2250.7986	  245.081290
2250.9971	  248.800866
2251.1955	  248.350996
2251.3939	  245.618739
2251.5924	  252.069933
2251.7908	  252.239964
2251.9892	  249.485747
2252.1877	  253.522297
2252.3861	  248.909227
2252.5845	  246.958265
2252.7830	  250.024507
2252.9814	  254.452745
2253.1799	  261.491332
2253.3783	  258.970440
2253.5767	  258.897794
2253.7752	  260.255414
2253.9736	  264.587334
2254.1720	  256.960775
2254.3705	  267.946216
2254.5689	  258.852501
2254.7674	  255.954201
2254.9658	  263.339919
2255.1642	  258.065565
2255.3627	  268.157980
2255.5611	  262.262630
2255.7595	  259.336597
2255.9580	  254.900003
2256.1564	  266.704589
2256.3548	  263.708106
2256.5533	  257.298342
2256.7517	  257.615802
2256.9502	  262.888961
2257.1486	  267.580245
2257.3470	  267.113952
2257.5455	  264.202891
2257.7439	  264.365145
2257.9423	  260.795619
2258.1408	  266.404818
2258.3392	  267.696419
2258.5377	  267.014228
2258.7361	  265.365774
2258.9345	  268.737343
2259.1330	  270.106086
2259.3314	  265.725315
2259.5298	  265.027516
2259.7283	  265.150998
2259.9267	  263.143091
2260.1252	  269.795762
2260.3236	  267.950491
2260.5220	  264.842268
2260.7205	  259.244114
2260.9189	  259.034610
2261.1173	  264.234349
2261.3158	  265.057000
2261.5142	  262.850437
2261.7126	  264.123141
2261.9111	  267.987346
2262.1095	  262.338215
2262.3080	  264.977733
2262.5064	  265.752458
2262.7048	  266.499028
2262.9033	  264.518523
2263.1017	  264.247889
2263.3001	  269.615568
2263.4986	  270.495201
2263.6970	  272.958767
2263.8955	  276.118600
2264.0939	  270.967586
2264.2923	  276.951104
2264.4908	  278.036107
2264.6892	  272.549124
2264.8876	  266.265315
2265.0861	  276.592372
2265.2845	  279.917551
2265.4829	  275.457402
2265.6814	  278.228029
2265.8798	  274.218673
2266.0783	  274.960970
2266.2767	  269.957373
2266.4751	  266.465659
2266.6736	  277.916832
2266.8720	  271.062476
2267.0704	  275.291204
2267.2689	  268.486511
2267.4673	  269.904451
2267.6658	  280.105983
2267.8642	  272.071683
2268.0626	  282.139382
2268.2611	  277.802438
2268.4595	  273.084978
2268.6579	  267.617154
2268.8564	  226.127976
2269.0548	  242.733865
2269.2532	  241.301576
2269.4517	  242.906094
2269.6501	  239.495117
2269.8486	  242.629832
2270.0470	  241.970031
2270.2454	  238.437467
2270.4439	  238.615750
2270.6423	  233.689032
2270.8407	  233.603121
2271.0392	  241.344755
2271.2376	  239.222455
2271.4361	  235.524404
2271.6345	  238.116746
2271.8329	  238.278439
2272.0314	  239.467760
2272.2298	  235.629219
2272.4282	  236.028024
2272.6267	  235.280868
2272.8251	  241.250684
2273.0235	  238.853513
2273.2220	  241.312066
2273.4204	  250.159838
2273.6189	  240.622599
2273.8173	  228.092854
2274.0157	  278.461158
2274.2142	  269.521648
2274.4126	  262.720423
2274.6110	  272.688660
2274.8095	  264.135346
2275.0079	  263.527276
2275.2064	  274.163510
2275.4048	  267.465669
2275.6032	  266.167319
2275.8017	  271.271652
2276.0001	  265.352860
2276.1985	  264.868881
2276.3970	  272.170186
2276.5954	  267.470597
2276.7938	  269.269394
2276.9923	  267.897203
2277.1907	  270.770820
2277.3892	  267.130986
2277.5876	  269.023157
2277.7860	  269.130867
2277.9845	  268.795344
2278.1829	  269.422034
2278.3813	  269.033816
2278.5798	  267.656521
2278.7782	  265.931517
2278.9767	  276.170080
2279.1751	  236.786630
2279.3735	  234.288072
2279.5720	  237.288362
2279.7704	  237.085556
2279.9688	  239.378861
2280.1673	  235.633670
2280.3657	  237.402617
2280.5641	  240.276110
2280.7626	  236.783333
2280.9610	  229.141185
2281.1595	  239.872442
2281.3579	  241.547913
2281.5563	  238.189433
2281.7548	  238.116842
2281.9532	  238.732178
2282.1516	  235.026641
2282.3501	  231.788362
2282.5485	  235.836559
2282.7470	  243.910103
2282.9454	  228.848071
2283.1438	  238.524196
2283.3423	  236.608886
2283.5407	  232.834832
2283.7391	  239.274413
2283.9376	  232.659347
2284.1360	  238.049822
2284.3344	  242.715029
2284.5329	  232.575405
2284.7313	  235.075900
2284.9298	  231.157097
2285.1282	  240.298678
2285.3266	  232.264587
2285.5251	  246.631362
2285.7235	  236.963843
2285.9219	  241.834381
2286.1204	  240.229949
2286.3188	  241.971387
2286.5173	  236.789601
2286.7157	  241.026897
2286.9141	  240.776662
2287.1126	  233.061007
2287.3110	  241.699428
2287.5094	  239.148779
2287.7079	  243.800320
2287.9063	  240.133174
2288.1047	  243.027768
2288.3032	  239.721102
2288.5016	  237.511956
2288.7001	  236.000237
2288.8985	  239.553919
2289.0969	  238.788121
2289.2954	  239.252118
2289.4938	  243.773228
2289.6922	  262.976021
2289.8907	  266.395087
2290.0891	  256.680655
2290.2876	  258.932626
2290.4860	  264.053049
2290.6844	  266.812117
2290.8829	  265.418327
2291.0813	  264.725817
2291.2797	  268.147398
2291.4782	  258.757472
2291.6766	  255.403176
2291.8751	  261.373210
2292.0735	  269.753070
2292.2719	  266.082571
2292.4704	  261.765555
2292.6688	  261.912519
2292.8672	  265.578565
2293.0657	  252.309038
2293.2641	  264.782438
2293.4625	  263.467248
