Well name: I01
Perforation interval: 2208 to 2307
Fluid in place: brine
Initial pressure:      209.846
Temperature:      347.041
time(day)	 water_rate(m3/d)	 BHP(bars)
0.000001	     199.972	  209.783274
0.000002	     200.000	  209.782646
0.000004	     200.000	  209.782306
0.000006	     200.000	  209.781869
0.000009	     200.000	  209.781308
0.000013	     200.000	  209.780591
0.000018	     200.000	  209.779678
0.000024	     200.000	  209.778522
0.000032	     200.000	  209.777067
0.000043	     200.000	  209.775250
0.000056	     200.000	  209.773001
0.000074	     200.000	  209.770246
0.000098	     200.000	  209.766909
0.000128	     200.000	  209.762921
0.000167	     200.000	  209.758219
0.000218	     200.000	  209.752759
0.000285	     200.000	  209.746517
0.000372	     200.000	  209.739494
0.000484	     200.000	  209.731723
0.000630	     200.000	  209.723270
0.000820	     200.000	  209.714237
0.001067	     200.000	  209.704754
0.001388	     200.000	  209.694972
0.001806	     200.000	  209.685059
0.002349	     200.000	  209.675116
0.003054	     200.000	  209.665267
0.003972	     200.000	  209.655580
0.005164	     200.000	  209.646092
0.006715	     200.000	  209.636803
0.008730	     200.000	  209.627700
0.011350	     200.000	  209.618741
0.014756	     200.000	  209.609865
0.019184	     200.000	  209.601035
0.024940	     200.000	  209.592234
0.032423	     200.000	  209.583420
0.042151	     200.000	  209.574573
0.054797	     200.000	  209.565790
0.071237	     200.000	  209.557077
0.092609	     200.000	  209.548666
0.120393	     200.000	  209.540384
0.156512	     200.000	  209.532347
0.203466	     200.000	  209.524471
0.264507	     200.000	  209.516712
0.343860	     200.000	  209.508891
0.447019	     200.000	  209.500966
0.581126	     200.000	  209.492798
0.755465	     200.000	  209.484245
0.982106	     200.000	  209.475194
1.276738	     200.000	  209.465544
1.659761	     200.000	  209.454984
2.157690	     200.000	  209.443527
2.804998	     200.000	  209.430524
3.646498	     200.000	  209.416313
4.740449	     200.000	  209.400439
6.162584	     200.000	  209.383052
8.011361	     200.000	  209.364138
10.000000	     200.000	  209.346515
10.000001	       0.000	  209.488226
10.000002	      -0.000	  209.488872
10.000004	      -0.000	  209.489212
10.000006	      -0.000	  209.489649
10.000009	      -0.000	  209.490210
10.000013	      -0.000	  209.490927
10.000018	      -0.000	  209.491840
10.000024	      -0.000	  209.492996
10.000032	      -0.000	  209.494450
10.000043	      -0.000	  209.496267
10.000056	      -0.000	  209.498516
10.000074	      -0.000	  209.501272
10.000098	      -0.000	  209.504610
10.000128	      -0.000	  209.508599
10.000167	      -0.000	  209.513303
10.000218	      -0.000	  209.518764
10.000285	      -0.000	  209.525008
10.000372	      -0.000	  209.532035
10.000484	      -0.000	  209.539809
10.000630	      -0.000	  209.548267
10.000820	      -0.000	  209.557301
10.001067	      -0.000	  209.566779
10.001388	      -0.000	  209.576554
10.001806	      -0.000	  209.586469
10.002349	      -0.000	  209.596407
10.003054	      -0.000	  209.606255
10.003972	      -0.000	  209.615936
10.005164	      -0.000	  209.625402
10.006715	      -0.000	  209.634679
10.008730	      -0.000	  209.643757
10.011350	      -0.000	  209.652686
10.014756	      -0.000	  209.661526
10.019184	      -0.000	  209.670308
10.024940	      -0.000	  209.679038
10.032423	      -0.000	  209.687767
10.042151	      -0.000	  209.696476
10.054797	      -0.000	  209.705093
10.071237	      -0.000	  209.713566
10.092609	      -0.000	  209.721835
10.120393	      -0.000	  209.729796
10.156512	      -0.000	  209.737495
10.203466	      -0.000	  209.744883
10.264507	      -0.000	  209.752035
10.343860	      -0.000	  209.758976
10.447019	      -0.000	  209.765808
10.581126	      -0.000	  209.772581
10.755465	      -0.000	  209.779332
10.982106	      -0.000	  209.786130
11.276738	      -0.000	  209.792949
11.659761	      -0.000	  209.799762
12.157690	      -0.000	  209.806916
12.804998	      -0.000	  209.814071
13.646498	      -0.000	  209.821009
14.740449	      -0.000	  209.827922
16.162584	      -0.000	  209.834214
18.011361	      -0.000	  209.839764
