Well name: P03
Perforation interval: 2060 to 2200
Fluid in place: brine
Initial pressure:      210.289
Temperature:      350.285
time(day)	 water_rate(m3/d)	 BHP(bars)
0.000001	     200.000	  210.214512
0.000002	     200.000	  210.214286
0.000004	     200.000	  210.214087
0.000006	     200.000	  210.213830
0.000009	     200.000	  210.213500
0.000013	     200.000	  210.213076
0.000018	     200.000	  210.212534
0.000024	     200.000	  210.211844
0.000032	     200.000	  210.210972
0.000043	     200.000	  210.209877
0.000056	     200.000	  210.208515
0.000074	     200.000	  210.206840
0.000098	     200.000	  210.204807
0.000128	     200.000	  210.202379
0.000167	     200.000	  210.199532
0.000218	     200.000	  210.196261
0.000285	     200.000	  210.192584
0.000372	     200.000	  210.188545
0.000484	     200.000	  210.184203
0.000630	     200.000	  210.179624
0.000820	     200.000	  210.174874
0.001067	     200.000	  210.170002
0.001388	     200.000	  210.165060
0.001806	     200.000	  210.160078
0.002349	     200.000	  210.155073
0.003054	     200.000	  210.150070
0.003972	     200.000	  210.145070
0.005164	     200.000	  210.140059
0.006715	     200.000	  210.135019
0.008730	     200.000	  210.129938
0.011350	     200.000	  210.124800
0.014756	     200.000	  210.119605
0.019184	     200.000	  210.114351
0.024940	     200.000	  210.109044
0.032423	     200.000	  210.103678
0.042151	     200.000	  210.098231
0.054797	     200.000	  210.092701
0.071237	     200.000	  210.087204
0.092609	     200.000	  210.081580
0.120393	     200.000	  210.075853
0.156512	     200.000	  210.069990
0.203466	     200.000	  210.064030
0.264507	     200.000	  210.057974
0.343860	     200.000	  210.051845
0.447019	     200.000	  210.045625
0.581126	     200.000	  210.039410
0.755465	     200.000	  210.033105
0.982106	     200.000	  210.026870
1.276738	     200.000	  210.020675
1.659761	     200.000	  210.014422
2.157690	     200.000	  210.008322
2.804998	     200.000	  210.002229
3.646498	     200.000	  209.996101
4.740449	     200.000	  209.989702
6.162584	     200.000	  209.983494
8.011361	     200.000	  209.976585
10.000000	     200.000	  209.970400
10.000001	       0.000	  210.050130
10.000002	      -0.000	  210.050479
10.000004	      -0.000	  210.050678
10.000006	      -0.000	  210.050935
10.000009	      -0.000	  210.051265
10.000013	      -0.000	  210.051689
10.000018	      -0.000	  210.052231
10.000024	      -0.000	  210.052920
10.000032	      -0.000	  210.053791
10.000043	      -0.000	  210.054885
10.000056	      -0.000	  210.056246
10.000074	      -0.000	  210.057920
10.000098	      -0.000	  210.059951
10.000128	      -0.000	  210.062377
10.000167	      -0.000	  210.065222
10.000218	      -0.000	  210.068491
10.000285	      -0.000	  210.072165
10.000372	      -0.000	  210.076202
10.000484	      -0.000	  210.080543
10.000630	      -0.000	  210.085119
10.000820	      -0.000	  210.089869
10.001067	      -0.000	  210.094741
10.001388	      -0.000	  210.099684
10.001806	      -0.000	  210.104667
10.002349	      -0.000	  210.109675
10.003054	      -0.000	  210.114683
10.003972	      -0.000	  210.119676
10.005164	      -0.000	  210.124690
10.006715	      -0.000	  210.129721
10.008730	      -0.000	  210.134805
10.011350	      -0.000	  210.139934
10.014756	      -0.000	  210.145123
10.019184	      -0.000	  210.150369
10.024940	      -0.000	  210.155670
10.032423	      -0.000	  210.161023
10.042151	      -0.000	  210.166431
10.054797	      -0.000	  210.171887
10.071237	      -0.000	  210.177410
10.092609	      -0.000	  210.183020
10.120393	      -0.000	  210.188722
10.156512	      -0.000	  210.194522
10.203466	      -0.000	  210.200418
10.264507	      -0.000	  210.206388
10.343860	      -0.000	  210.212442
10.447019	      -0.000	  210.218505
10.581126	      -0.000	  210.224574
10.755465	      -0.000	  210.230587
10.982106	      -0.000	  210.236566
11.276738	      -0.000	  210.242414
11.659761	      -0.000	  210.247980
12.157690	      -0.000	  210.253515
12.804998	      -0.000	  210.258836
13.646498	      -0.000	  210.263983
14.740449	      -0.000	  210.268720
16.162584	      -0.000	  210.273428
18.011361	      -0.000	  210.277209
